index,title,slug,tags,difficulty,related_questions
1902,Car Fleet II,car-fleet-ii,"Array,Math,Stack,Heap (Priority Queue),Monotonic Stack",Hard,"883,2317"
1903,Design Most Recently Used Queue,design-most-recently-used-queue,"Array,Hash Table,Stack,Design,Binary Indexed Tree,Ordered Set",Medium,146
1904,Second Largest Digit in a String,second-largest-digit-in-a-string,"Hash Table,String",Easy,
1905,Design Authentication Manager,design-authentication-manager,"Hash Table,Design",Medium,
1906,Maximize Score After N Operations,maximize-score-after-n-operations,"Array,Math,Dynamic Programming,Backtracking,Bit Manipulation,Number Theory,Bitmask",Hard,
1907,Count Pairs With XOR in a Range,count-pairs-with-xor-in-a-range,"Array,Bit Manipulation,Trie",Hard,
1908,Recyclable and Low Fat Products,recyclable-and-low-fat-products,Database,Easy,
1909,Buildings With an Ocean View,buildings-with-an-ocean-view,"Array,Stack,Monotonic Stack",Medium,1305
1910,Check if Binary String Has at Most One Segment of Ones,check-if-binary-string-has-at-most-one-segment-of-ones,String,Easy,1999
1911,Minimum Elements to Add to Form a Given Sum,minimum-elements-to-add-to-form-a-given-sum,"Array,Greedy",Medium,
1912,Number of Restricted Paths From First to Last Node,number-of-restricted-paths-from-first-to-last-node,"Dynamic Programming,Graph,Topological Sort,Heap (Priority Queue),Shortest Path",Medium,1431
1913,Make the XOR of All Segments Equal to Zero,make-the-xor-of-all-segments-equal-to-zero,"Array,Dynamic Programming,Bit Manipulation",Hard,
1914,Find the Subtasks That Did Not Execute,find-the-subtasks-that-did-not-execute,Database,Hard,
1915,Check if One String Swap Can Make Strings Equal,check-if-one-string-swap-can-make-strings-equal,"Hash Table,String,Counting",Easy,889
1916,Find Center of Star Graph,find-center-of-star-graph,Graph,Easy,
1917,Maximum Average Pass Ratio,maximum-average-pass-ratio,"Array,Greedy,Heap (Priority Queue)",Medium,
1918,Maximum Score of a Good Subarray,maximum-score-of-a-good-subarray,"Array,Two Pointers,Binary Search,Stack,Monotonic Stack",Hard,84
1919,Sort Features by Popularity,sort-features-by-popularity,"Array,Hash Table,String,Sorting",Medium,"347,692"
1920,Determine Color of a Chessboard Square,determine-color-of-a-chessboard-square,"Math,String",Easy,
1923,Sentence Similarity III,sentence-similarity-iii,"Array,Two Pointers,String",Medium,
1924,Maximum Number of Groups Getting Fresh Donuts,maximum-number-of-groups-getting-fresh-donuts,"Array,Dynamic Programming,Bit Manipulation,Memoization,Bitmask",Hard,
1925,Count Nice Pairs in an Array,count-nice-pairs-in-an-array,"Array,Hash Table,Math,Counting",Medium,2129
1926,Product's Price for Each Store,products-price-for-each-store,Database,Easy,1948
1927,Maximum Ascending Subarray Sum,maximum-ascending-subarray-sum,Array,Easy,2205
1928,Number of Orders in the Backlog,number-of-orders-in-the-backlog,"Array,Heap (Priority Queue),Simulation",Medium,
1929,Maximum Value at a Given Index in a Bounded Array,maximum-value-at-a-given-index-in-a-bounded-array,"Binary Search,Greedy",Medium,
1930,Maximum Number of Consecutive Values You Can Make,maximum-number-of-consecutive-values-you-can-make,"Array,Greedy",Medium,330
1931,Shortest Path in a Hidden Grid,shortest-path-in-a-hidden-grid,"Depth-First Search,Breadth-First Search,Graph,Interactive",Medium,"865,1959"
1932,Grand Slam Titles,grand-slam-titles,Database,Medium,
1933,Number of Different Integers in a String,number-of-different-integers-in-a-string,"Hash Table,String",Easy,
1934,Evaluate the Bracket Pairs of a String,evaluate-the-bracket-pairs-of-a-string,"Array,Hash Table,String",Medium,
1935,Minimum Number of Operations to Reinitialize a Permutation,minimum-number-of-operations-to-reinitialize-a-permutation,"Array,Math,Simulation",Medium,
1936,Maximize Number of Nice Divisors,maximize-number-of-nice-divisors,"Math,Recursion",Hard,343
1937,Maximize the Beauty of the Garden,maximize-the-beauty-of-the-garden,"Array,Greedy,Prefix Sum",Hard,
1938,Minimum Operations to Make the Array Increasing,minimum-operations-to-make-the-array-increasing,"Array,Greedy",Easy,2329
1939,Queries on Number of Points Inside a Circle,queries-on-number-of-points-inside-a-circle,"Array,Math,Geometry",Medium,
1940,Maximum XOR for Each Query,maximum-xor-for-each-query,"Array,Bit Manipulation,Prefix Sum",Medium,
1941,Minimum Number of Operations to Make String Sorted,minimum-number-of-operations-to-make-string-sorted,"Math,String,Combinatorics",Hard,
1942,Primary Department for Each Employee,primary-department-for-each-employee,Database,Easy,
1943,Count Pairs of Equal Substrings With Minimum Difference,count-pairs-of-equal-substrings-with-minimum-difference,"Hash Table,String,Greedy",Medium,
1944,Truncate Sentence,truncate-sentence,"Array,String",Easy,
1945,Finding the Users Active Minutes,finding-the-users-active-minutes,"Array,Hash Table",Medium,
1946,Minimum Absolute Sum Difference,minimum-absolute-sum-difference,"Array,Binary Search,Sorting,Ordered Set",Medium,
1947,Number of Different Subsequences GCDs,number-of-different-subsequences-gcds,"Array,Math,Counting,Number Theory",Hard,2106
1948,Rearrange Products Table,rearrange-products-table,Database,Easy,1926
1949,Implement Trie II (Prefix Tree),implement-trie-ii-prefix-tree,"Hash Table,String,Design,Trie",Medium,"208,1433"
1950,Sign of the Product of an Array,sign-of-the-product-of-an-array,"Array,Math",Easy,
1951,Find the Winner of the Circular Game,find-the-winner-of-the-circular-game,"Array,Math,Recursion,Queue,Simulation",Medium,
1952,Minimum Sideway Jumps,minimum-sideway-jumps,"Array,Dynamic Programming,Greedy",Medium,403
1953,Finding MK Average,finding-mk-average,"Design,Queue,Heap (Priority Queue),Ordered Set",Hard,"295,789,2207"
1954,Replace All Digits with Characters,replace-all-digits-with-characters,String,Easy,878
1955,Seat Reservation Manager,seat-reservation-manager,"Design,Heap (Priority Queue)",Medium,379
1956,Maximum Element After Decreasing and Rearranging,maximum-element-after-decreasing-and-rearranging,"Array,Greedy,Sorting",Medium,
1957,Closest Room,closest-room,"Array,Binary Search,Sorting",Hard,2179
1958,Ad-Free Sessions,ad-free-sessions,Database,Easy,
1959,Minimum Path Cost in a Hidden Grid,minimum-path-cost-in-a-hidden-grid,"Depth-First Search,Breadth-First Search,Graph,Heap (Priority Queue),Interactive",Medium,"865,1931"
1960,Check if the Sentence Is Pangram,check-if-the-sentence-is-pangram,"Hash Table,String",Easy,
1961,Maximum Ice Cream Bars,maximum-ice-cream-bars,"Array,Greedy,Sorting",Medium,
1962,Single-Threaded CPU,single-threaded-cpu,"Array,Sorting,Heap (Priority Queue)",Medium,2176
1963,Find XOR Sum of All Pairs Bitwise AND,find-xor-sum-of-all-pairs-bitwise-and,"Array,Math,Bit Manipulation",Hard,
1964,Find Interview Candidates,find-interview-candidates,Database,Medium,
1965,Sum of Digits in Base K,sum-of-digits-in-base-k,Math,Easy,
1966,Frequency of the Most Frequent Element,frequency-of-the-most-frequent-element,"Array,Binary Search,Greedy,Sliding Window,Sorting,Prefix Sum",Medium,2270
1967,Longest Substring Of All Vowels in Order,longest-substring-of-all-vowels-in-order,"String,Sliding Window",Medium,2186
1968,Maximum Building Height,maximum-building-height,"Array,Math",Hard,
1969,Maximum Number of Accepted Invitations,maximum-number-of-accepted-invitations,"Array,Backtracking,Matrix",Medium,
1970,Sorting the Sentence,sorting-the-sentence,"String,Sorting",Easy,2168
1971,Incremental Memory Leak,incremental-memory-leak,Simulation,Medium,
1972,Rotating the Box,rotating-the-box,"Array,Two Pointers,Matrix",Medium,
1974,Find Customers With Positive Revenue this Year,find-customers-with-positive-revenue-this-year,Database,Easy,
1975,Minimum Distance to the Target Element,minimum-distance-to-the-target-element,Array,Easy,
1976,Splitting a String Into Descending Consecutive Values,splitting-a-string-into-descending-consecutive-values,"String,Backtracking",Medium,
1977,Minimum Interval to Include Each Query,minimum-interval-to-include-each-query,"Array,Binary Search,Line Sweep,Sorting,Heap (Priority Queue)",Hard,
1978,Minimum Adjacent Swaps to Reach the Kth Smallest Number,minimum-adjacent-swaps-to-reach-the-kth-smallest-number,"Two Pointers,String,Greedy",Medium,31
1979,Maximum Number of People That Can Be Caught in Tag,maximum-number-of-people-that-can-be-caught-in-tag,"Array,Greedy",Medium,2191
1980,Faulty Sensor,faulty-sensor,"Array,Two Pointers",Easy,
1981,Maximum Transaction Each Day,maximum-transaction-each-day,Database,Medium,
1982,Remove Duplicates From an Unsorted Linked List,remove-duplicates-from-an-unsorted-linked-list,"Hash Table,Linked List",Medium,"82,83"
1983,Maximum Population Year,maximum-population-year,"Array,Counting",Easy,
1984,Maximum Distance Between a Pair of Values,maximum-distance-between-a-pair-of-values,"Array,Two Pointers,Binary Search,Greedy",Medium,2199
1985,Maximum Subarray Min-Product,maximum-subarray-min-product,"Array,Stack,Monotonic Stack,Prefix Sum",Medium,
1986,Largest Color Value in a Directed Graph,largest-color-value-in-a-directed-graph,"Hash Table,Dynamic Programming,Graph,Topological Sort,Memoization,Counting",Hard,
1987,Substrings of Size Three with Distinct Characters,substrings-of-size-three-with-distinct-characters,"Hash Table,String,Sliding Window,Counting",Easy,
1988,Minimize Maximum Pair Sum in Array,minimize-maximum-pair-sum-in-array,"Array,Two Pointers,Greedy,Sorting",Medium,
1989,Minimum XOR Sum of Two Arrays,minimum-xor-sum-of-two-arrays,"Array,Dynamic Programming,Bit Manipulation,Bitmask",Hard,"2282,2291"
1990,Get Biggest Three Rhombus Sums in a Grid,get-biggest-three-rhombus-sums-in-a-grid,"Array,Math,Sorting,Heap (Priority Queue),Matrix,Prefix Sum",Medium,2193
1991,League Statistics,league-statistics,Database,Medium,
1992,Sort Linked List Already Sorted Using Absolute Values,sort-linked-list-already-sorted-using-absolute-values,"Linked List,Two Pointers,Sorting",Medium,148
1993,Sum of All Subset XOR Totals,sum-of-all-subset-xor-totals,"Array,Math,Backtracking,Bit Manipulation,Combinatorics",Easy,
1994,Minimum Number of Swaps to Make the Binary String Alternating,minimum-number-of-swaps-to-make-the-binary-string-alternating,"String,Greedy",Medium,
1995,Finding Pairs With a Certain Sum,finding-pairs-with-a-certain-sum,"Array,Hash Table,Design",Medium,2116
1996,Number of Ways to Rearrange Sticks With K Sticks Visible,number-of-ways-to-rearrange-sticks-with-k-sticks-visible,"Math,Dynamic Programming,Combinatorics",Hard,
1997,Next Palindrome Using Same Digits,next-palindrome-using-same-digits,"Two Pointers,String",Hard,"556,564"
1998,Suspicious Bank Accounts,suspicious-bank-accounts,Database,Medium,
1999,Longer Contiguous Segments of Ones than Zeros,longer-contiguous-segments-of-ones-than-zeros,String,Easy,"485,510,1910"
2000,Minimum Speed to Arrive on Time,minimum-speed-to-arrive-on-time,"Array,Binary Search",Medium,"1335,2013,2294"
2001,Jump Game VII,jump-game-vii,"Two Pointers,String,Prefix Sum",Medium,"45,55,1428,1447,1466,1814,2001"
2002,Stone Game VIII,stone-game-viii,"Array,Math,Dynamic Programming,Prefix Sum,Game Theory",Hard,"909,1240,1522,1617,1685,1788,1808,2002,2156"
2003,Distinct Numbers in Each Subarray,distinct-numbers-in-each-subarray,"Array,Hash Table,Sliding Window",Medium,
2004,Convert Date Format,convert-date-format,Database,Easy,
2005,Check if All the Integers in a Range Are Covered,check-if-all-the-integers-in-a-range-are-covered,"Array,Hash Table,Prefix Sum",Easy,
2006,Find the Student that Will Replace the Chalk,find-the-student-that-will-replace-the-chalk,"Array,Binary Search,Simulation,Prefix Sum",Medium,
2008,Minimum Cost to Change the Final Value of Expression,minimum-cost-to-change-the-final-value-of-expression,"Math,String,Dynamic Programming,Stack",Hard,
2009,Longest Word With All Prefixes,longest-word-with-all-prefixes,"Depth-First Search,Trie",Medium,720
2010,Check if Word Equals Summation of Two Words,check-if-word-equals-summation-of-two-words,String,Easy,
2011,Maximum Value after Insertion,maximum-value-after-insertion,"String,Greedy",Medium,
2012,Process Tasks Using Servers,process-tasks-using-servers,"Array,Heap (Priority Queue)",Medium,2176
2013,Minimum Skips to Arrive at Meeting On Time,minimum-skips-to-arrive-at-meeting-on-time,"Array,Dynamic Programming",Hard,"2000,2295"
2014,Orders With Maximum Quantity Above Average,orders-with-maximum-quantity-above-average,Database,Medium,
2015,Determine Whether Matrix Can Be Obtained By Rotation,determine-whether-matrix-can-be-obtained-by-rotation,"Array,Matrix",Easy,48
2016,Reduction Operations to Make the Array Elements Equal,reduction-operations-to-make-the-array-elements-equal,"Array,Sorting",Medium,
2017,Minimum Number of Flips to Make the Binary String Alternating,minimum-number-of-flips-to-make-the-binary-string-alternating,"String,Greedy",Medium,2289
2018,Minimum Space Wasted From Packaging,minimum-space-wasted-from-packaging,"Array,Binary Search,Sorting,Prefix Sum",Hard,
2019,Product of Two Run-Length Encoded Arrays,product-of-two-run-length-encoded-arrays,"Array,Two Pointers",Medium,
2020,Remove One Element to Make the Array Strictly Increasing,remove-one-element-to-make-the-array-strictly-increasing,Array,Easy,
2021,Remove All Occurrences of a Substring,remove-all-occurrences-of-a-substring,String,Medium,
2022,Maximum Alternating Subsequence Sum,maximum-alternating-subsequence-sum,"Array,Dynamic Programming",Medium,512
2023,Design Movie Rental System,design-movie-rental-system,"Array,Hash Table,Design,Heap (Priority Queue),Ordered Set",Hard,
2024,Calculate Special Bonus,calculate-special-bonus,Database,Easy,
2025,Redistribute Characters to Make All Strings Equal,redistribute-characters-to-make-all-strings-equal,"Hash Table,String,Counting",Easy,
2026,Merge Triplets to Form Target Triplet,merge-triplets-to-form-target-triplet,"Array,Greedy",Medium,
2027,Maximum Number of Removable Characters,maximum-number-of-removable-characters,"Array,String,Binary Search",Medium,1335
2028,The Earliest and Latest Rounds Where Players Compete,the-earliest-and-latest-rounds-where-players-compete,"Dynamic Programming,Memoization",Hard,
2029,Minimize Product Sum of Two Arrays,minimize-product-sum-of-two-arrays,"Array,Greedy,Sorting",Medium,2282
2030,Group Employees of the Same Salary,group-employees-of-the-same-salary,Database,Medium,
2031,Egg Drop With 2 Eggs and N Floors,egg-drop-with-2-eggs-and-n-floors,"Math,Dynamic Programming",Medium,923
2032,Largest Odd Number in String,largest-odd-number-in-string,"Math,String,Greedy",Easy,
2033,The Number of Full Rounds You Have Played,the-number-of-full-rounds-you-have-played,"Math,String",Medium,
2034,Minimum Absolute Difference Queries,minimum-absolute-difference-queries,"Array,Hash Table",Medium,
2035,Count Sub Islands,count-sub-islands,"Array,Depth-First Search,Breadth-First Search,Union Find,Matrix",Medium,"200,694,2103"
2036,Count Pairs in Two Arrays,count-pairs-in-two-arrays,"Array,Binary Search,Sorting",Medium,"1622,2225"
2037,Count Square Sum Triples,count-square-sum-triples,"Math,Enumeration",Easy,
2038,Nearest Exit from Entrance in Maze,nearest-exit-from-entrance-in-maze,"Array,Breadth-First Search,Matrix",Medium,
2039,Sum Game,sum-game,"Math,Greedy,Game Theory",Medium,
2040,Minimum Cost to Reach Destination in Time,minimum-cost-to-reach-destination-in-time,"Dynamic Programming,Graph",Hard,"2189,2230"
2041,The Latest Login in 2020,the-latest-login-in-2020,Database,Easy,
2042,Maximum Product Difference Between Two Pairs,maximum-product-difference-between-two-pairs,"Array,Sorting",Easy,
2043,Cyclically Rotating a Grid,cyclically-rotating-a-grid,"Array,Matrix,Simulation",Medium,
2044,Number of Wonderful Substrings,number-of-wonderful-substrings,"Hash Table,String,Bit Manipulation,Prefix Sum",Medium,
2045,Cutting Ribbons,cutting-ribbons,"Array,Binary Search",Medium,"1056,2066"
2046,Page Recommendations II,page-recommendations-ii,Database,Hard,"1399,2097"
2047,Find a Peak Element II,find-a-peak-element-ii,"Array,Binary Search,Divide and Conquer,Matrix",Medium,162
2048,Build Array from Permutation,build-array-from-permutation,"Array,Simulation",Easy,
2049,Eliminate Maximum Number of Monsters,eliminate-maximum-number-of-monsters,"Array,Greedy,Sorting",Medium,2354
2050,Count Good Numbers,count-good-numbers,"Math,Recursion",Medium,
2051,Longest Common Subpath,longest-common-subpath,"Array,Binary Search,Rolling Hash,Suffix Array,Hash Function",Hard,"332,718"
2052,Depth of BST Given Insertion Order,depth-of-bst-given-insertion-order,"Tree,Binary Search Tree,Binary Tree,Ordered Set",Medium,
2053,Check if All Characters Have Equal Number of Occurrences,check-if-all-characters-have-equal-number-of-occurrences,"Hash Table,String,Counting",Easy,2226
2054,The Number of the Smallest Unoccupied Chair,the-number-of-the-smallest-unoccupied-chair,"Array,Heap (Priority Queue),Ordered Set",Medium,
2055,Describe the Painting,describe-the-painting,"Array,Prefix Sum",Medium,"2142,2297"
2057,Count Salary Categories,count-salary-categories,Database,Medium,1564
2058,Concatenation of Array,concatenation-of-array,Array,Easy,
2059,Unique Length-3 Palindromic Subsequences,unique-length-3-palindromic-subsequences,"Hash Table,String,Prefix Sum",Medium,
2060,Merge BSTs to Create Single BST,merge-bsts-to-create-single-bst,"Hash Table,Binary Search,Tree,Depth-First Search,Binary Tree",Hard,
2061,Painting a Grid With Three Different Colors,painting-a-grid-with-three-different-colors,Dynamic Programming,Hard,1527
2062,Game of Nim,game-of-nim,"Array,Math,Dynamic Programming,Bit Manipulation,Brainteaser,Game Theory",Medium,2153
2063,Leetcodify Friends Recommendations,leetcodify-friends-recommendations,Database,Hard,"2064,2097"
2064,Leetcodify Similar Friends,leetcodify-similar-friends,Database,Hard,2063
2066,Add Minimum Number of Rungs,add-minimum-number-of-rungs,"Array,Greedy",Medium,2045
2067,Maximum Number of Points with Cost,maximum-number-of-points-with-cost,"Array,Dynamic Programming",Medium,"64,2108"
2068,Maximum Genetic Difference Query,maximum-genetic-difference-query,"Array,Bit Manipulation,Trie",Hard,1826
2069,Kth Smallest Subarray Sum,kth-smallest-subarray-sum,"Array,Binary Search,Sliding Window",Medium,
2070,Check if String Is Decomposable Into Value-Equal Substrings,check-if-string-is-decomposable-into-value-equal-substrings,String,Easy,
2071,Longest Common Subsequence Between Sorted Arrays,longest-common-subsequence-between-sorted-arrays,"Array,Hash Table,Counting",Medium,21
2072,Maximum of Minimum Values in All Subarrays,maximum-of-minimum-values-in-all-subarrays,"Array,Stack,Monotonic Stack",Medium,
2073,Minimum Time For K Virus Variants to Spread,minimum-time-for-k-virus-variants-to-spread,"Array,Math,Binary Search,Geometry,Enumeration",Hard,
2074,Erect the Fence II,erect-the-fence-ii,"Array,Math,Geometry",Hard,587
2075,Brightest Position on Street,brightest-position-on-street,"Array,Prefix Sum,Ordered Set",Medium,"2191,2385"
2076,Sum of Digits of String After Convert,sum-of-digits-of-string-after-convert,"String,Simulation",Easy,"202,258,2298"
2077,Largest Number After Mutating Substring,largest-number-after-mutating-substring,"Array,String,Greedy",Medium,
2078,Maximum Compatibility Score Sum,maximum-compatibility-score-sum,"Array,Dynamic Programming,Backtracking,Bit Manipulation,Bitmask",Medium,
2079,Delete Duplicate Folders in System,delete-duplicate-folders-in-system,"Array,Hash Table,String,Trie,Hash Function",Hard,"609,652"
2080,Check if Move is Legal,check-if-move-is-legal,"Array,Matrix,Enumeration",Medium,
2081,Minimum Total Space Wasted With K Resizing Operations,minimum-total-space-wasted-with-k-resizing-operations,"Array,Dynamic Programming",Medium,
2082,Minimum Cost to Separate Sentence Into Rows,minimum-cost-to-separate-sentence-into-rows,"Array,Dynamic Programming",Medium,418
2083,Three Divisors,three-divisors,Math,Easy,2106
2084,Maximum Number of Weeks for Which You Can Work,maximum-number-of-weeks-for-which-you-can-work,"Array,Greedy",Medium,621
2085,Array With Elements Not Equal to Average of Neighbors,array-with-elements-not-equal-to-average-of-neighbors,"Array,Greedy,Sorting",Medium,"280,324"
2086,Count Number of Special Subsequences,count-number-of-special-subsequences,"Array,Dynamic Programming",Hard,
2087,Confirmation Rate,confirmation-rate,Database,Medium,
2088,Minimum Time to Type Word Using Special Typewriter,minimum-time-to-type-word-using-special-typewriter,"String,Greedy",Easy,1443
2089,Maximum Matrix Sum,maximum-matrix-sum,"Array,Greedy,Matrix",Medium,
2090,Number of Ways to Arrive at Destination,number-of-ways-to-arrive-at-destination,"Dynamic Programming,Graph,Topological Sort,Shortest Path",Medium,"813,1325,2171"
2091,Number of Ways to Separate Numbers,number-of-ways-to-separate-numbers,"String,Dynamic Programming,Suffix Array",Hard,"91,639,1517"
2092,Users That Actively Request Confirmation Messages,users-that-actively-request-confirmation-messages,Database,Easy,
2093,Check If String Is a Prefix of Array,check-if-string-is-a-prefix-of-array,"Array,String",Easy,
2094,Remove Stones to Minimize the Total,remove-stones-to-minimize-the-total,"Array,Heap (Priority Queue)",Medium,2310
2095,Minimum Number of Swaps to Make the String Balanced,minimum-number-of-swaps-to-make-the-string-balanced,"Two Pointers,String,Stack,Greedy",Medium,"301,957,1371,1648"
2096,Find the Longest Valid Obstacle Course at Each Position,find-the-longest-valid-obstacle-course-at-each-position,"Array,Binary Search,Binary Indexed Tree",Hard,300
2097,Strong Friendship,strong-friendship,Database,Medium,"1399,2046,2063"
2098,All the Pairs With the Maximum Number of Common Followers,all-the-pairs-with-the-maximum-number-of-common-followers,Database,Medium,
2099,Number of Strings That Appear as Substrings in Word,number-of-strings-that-appear-as-substrings-in-word,String,Easy,
2100,Minimum Non-Zero Product of the Array Elements,minimum-non-zero-product-of-the-array-elements,"Math,Greedy,Recursion",Medium,
2101,Last Day Where You Can Still Cross,last-day-where-you-can-still-cross,"Array,Binary Search,Depth-First Search,Breadth-First Search,Union Find,Matrix",Hard,821
2102,Find the Middle Index in Array,find-the-middle-index-in-array,"Array,Prefix Sum",Easy,"724,1062,2369"
2103,Find All Groups of Farmland,find-all-groups-of-farmland,"Array,Depth-First Search,Breadth-First Search,Matrix",Medium,"200,2035"
2104,Operations on Tree,operations-on-tree,"Hash Table,Tree,Breadth-First Search,Design",Medium,1722
2105,The Number of Good Subsets,the-number-of-good-subsets,"Array,Math,Dynamic Programming,Bit Manipulation,Bitmask",Hard,"1220,1531"
2106,Find Greatest Common Divisor of Array,find-greatest-common-divisor-of-array,"Array,Math,Number Theory",Easy,"1146,1947,2083"
2107,Find Unique Binary String,find-unique-binary-string,"Array,String,Backtracking",Medium,"268,448,894"
2108,Minimize the Difference Between Target and Chosen Elements,minimize-the-difference-between-target-and-chosen-elements,"Array,Dynamic Programming,Matrix",Medium,"416,1881,2067"
2109,Find Array Given Subset Sums,find-array-given-subset-sums,"Array,Divide and Conquer",Hard,"78,90,2241"
2110,Employees With Missing Information,employees-with-missing-information,Database,Easy,
2111,Binary Searchable Numbers in an Unsorted Array,binary-searchable-numbers-in-an-unsorted-array,"Array,Binary Search",Medium,
2112,Minimum Difference Between Highest and Lowest of K Scores,minimum-difference-between-highest-and-lowest-of-k-scores,"Array,Sliding Window,Sorting",Easy,561
2113,Find the Kth Largest Integer in the Array,find-the-kth-largest-integer-in-the-array,"Array,String,Divide and Conquer,Sorting,Heap (Priority Queue),Quickselect",Medium,215
2114,Minimum Number of Work Sessions to Finish the Tasks,minimum-number-of-work-sessions-to-finish-the-tasks,"Array,Dynamic Programming,Backtracking,Bit Manipulation,Bitmask",Medium,"1220,1825"
2115,Number of Unique Good Subsequences,number-of-unique-good-subsequences,"String,Dynamic Programming",Hard,"115,977"
2116,Count Number of Pairs With Absolute Difference K,count-number-of-pairs-with-absolute-difference-k,"Array,Hash Table,Counting",Easy,"1,532,1995,2277"
2117,Find Original Array From Doubled Array,find-original-array-from-doubled-array,"Array,Hash Table,Greedy,Sorting",Medium,"991,2241"
2118,Maximum Earnings From Taxi,maximum-earnings-from-taxi,"Array,Binary Search,Dynamic Programming,Sorting",Medium,"1352,1478,1851"
2119,Minimum Number of Operations to Make Array Continuous,minimum-number-of-operations-to-make-array-continuous,"Array,Binary Search",Hard,"424,523,1113,1732,1805"
2120,First and Last Call On the Same Day,first-and-last-call-on-the-same-day,Database,Hard,
2121,Find if Path Exists in Graph,find-if-path-exists-in-graph,"Depth-First Search,Breadth-First Search,Graph",Easy,"2201,2218"
2122,Count Special Quadruplets,count-special-quadruplets,"Array,Enumeration",Easy,"18,334,1656"
2123,The Number of Weak Characters in the Game,the-number-of-weak-characters-in-the-game,"Array,Stack,Greedy,Sorting,Monotonic Stack",Medium,"354,1367"
2124,First Day Where You Have Been in All the Rooms,first-day-where-you-have-been-in-all-the-rooms,"Array,Dynamic Programming",Medium,
2125,GCD Sort of an Array,gcd-sort-of-an-array,"Array,Math,Union Find,Sorting",Hard,1257
2126,Count Nodes Equal to Sum of Descendants,count-nodes-equal-to-sum-of-descendants,"Tree,Depth-First Search,Binary Search Tree,Binary Tree",Medium,"508,1091"
2127,Employees Whose Manager Left the Company,employees-whose-manager-left-the-company,Database,Easy,
2128,Reverse Prefix of Word,reverse-prefix-of-word,"Two Pointers,String",Easy,
2129,Number of Pairs of Interchangeable Rectangles,number-of-pairs-of-interchangeable-rectangles,"Array,Hash Table,Math,Counting,Number Theory",Medium,"1635,1925,2307"
2130,Maximum Product of the Length of Two Palindromic Subsequences,maximum-product-of-the-length-of-two-palindromic-subsequences,"String,Dynamic Programming,Backtracking,Bit Manipulation,Bitmask",Medium,"125,516,1336,2318"
2131,Smallest Missing Genetic Value in Each Subtree,smallest-missing-genetic-value-in-each-subtree,"Dynamic Programming,Tree,Depth-First Search,Union Find",Hard,
2132,Convert 1D Array Into 2D Array,convert-1d-array-into-2d-array,"Array,Matrix,Simulation",Easy,566
2133,Number of Pairs of Strings With Concatenation Equal to Target,number-of-pairs-of-strings-with-concatenation-equal-to-target,"Array,String",Medium,1
2134,Maximize the Confusion of an Exam,maximize-the-confusion-of-an-exam,"String,Binary Search,Sliding Window,Prefix Sum",Medium,"340,424,1046,1605"
2135,Maximum Number of Ways to Partition an Array,maximum-number-of-ways-to-partition-an-array,"Array,Hash Table,Counting,Enumeration,Prefix Sum",Hard,"416,698"
2136,Find Cutoff Score for Each School,find-cutoff-score-for-each-school,Database,Medium,
2137,Final Value of Variable After Performing Operations,final-value-of-variable-after-performing-operations,"Array,String,Simulation",Easy,
2138,Sum of Beauty in the Array,sum-of-beauty-in-the-array,Array,Medium,"121,951"
2139,Detect Squares,detect-squares,"Array,Hash Table,Design,Counting",Medium,
2140,Longest Subsequence Repeated k Times,longest-subsequence-repeated-k-times,"String,Backtracking,Greedy,Counting,Enumeration",Hard,395
2141,Smallest Greater Multiple Made of Two Digits,smallest-greater-multiple-made-of-two-digits,"Math,Enumeration",Medium,
2142,Average Height of Buildings in Each Segment,average-height-of-buildings-in-each-segment,"Array,Greedy,Sorting,Heap (Priority Queue)",Medium,"1803,2055,2297"
2143,Count the Number of Experiments,count-the-number-of-experiments,Database,Medium,
2144,Maximum Difference Between Increasing Elements,maximum-difference-between-increasing-elements,Array,Easy,"121,2199"
2145,Grid Game,grid-game,"Array,Matrix,Prefix Sum",Medium,
2146,Check if Word Can Be Placed In Crossword,check-if-word-can-be-placed-in-crossword,"Array,Matrix,Enumeration",Medium,
2147,The Score of Students Solving Math Expression,the-score-of-students-solving-math-expression,"Array,Math,String,Dynamic Programming,Stack,Memoization",Hard,"224,241"
2148,Minimum Number of Moves to Seat Everyone,minimum-number-of-moves-to-seat-everyone,"Array,Sorting",Easy,
2149,Remove Colored Pieces if Both Neighbors are the Same Color,remove-colored-pieces-if-both-neighbors-are-the-same-color,"Math,String,Greedy,Game Theory",Medium,
2150,Kth Smallest Product of Two Sorted Arrays,kth-smallest-product-of-two-sorted-arrays,"Array,Binary Search",Hard,"373,532"
2151,The Time When the Network Becomes Idle,the-time-when-the-network-becomes-idle,"Array,Breadth-First Search,Graph",Medium,"744,764,774"
2152,The Number of Seniors and Juniors to Join the Company,the-number-of-seniors-and-juniors-to-join-the-company,Database,Hard,"1327,2158"
2153,Subtree Removal Game with Fibonacci Tree,subtree-removal-game-with-fibonacci-tree,"Math,Dynamic Programming,Tree,Binary Tree,Game Theory",Hard,2062
2154,Minimum Moves to Convert String,minimum-moves-to-convert-string,"String,Greedy",Easy,
2155,Find Missing Observations,find-missing-observations,"Array,Math,Simulation",Medium,"1263,1343"
2156,Stone Game IX,stone-game-ix,"Array,Math,Greedy,Counting,Game Theory",Medium,"909,1240,1522,1617,1685,1788,1808,2002,2156"
